date,cum_temp,biomass,solar,yield
1,8.98,0.04130605728000771,0.004798939657246522,
2,11.945,0.04832918467514468,0.004942466417110749,
3,18.35,0.16568212909124838,0.005267236865698084,
4,25.270000000000003,0.3522660957802234,0.005641975510904978,
5,32.260000000000005,0.5475270142276083,0.006047371996949225,
6,43.69500000000001,0.882146053588188,0.00677377446113661,
7,59.080000000000005,1.3024412429909487,0.007889251129469562,
8,72.505,1.5446622019094198,0.009010002261362171,
9,72.725,1.5544462940934534,0.009029622108737994,
10,72.725,1.5544462940934534,0.009029622108737994,
11,72.725,1.5544462940934534,0.009029622108737994,
12,76.41499999999999,1.6400528501052092,0.00936506556676661,
13,80.35999999999999,1.839275939674763,0.009737314909093985,
14,84.96999999999998,2.0814454161340903,0.010190860816906648,
15,92.31499999999998,2.4799953331310145,0.010956916757812445,
16,100.24999999999999,2.9548978635127874,0.011848372215834282,
17,113.45499999999998,3.584289270192098,0.013492742523204322,
18,126.12499999999999,4.240751055133718,0.015280482363932113,
19,139.54999999999998,4.633474216002736,0.017428133364575986,
20,148.14,5.445284211075231,0.018954352631430756,
21,149.945,5.56507620837933,0.01929126008551593,
22,153.01,5.887202926814577,0.019876773512292577,
23,156.39499999999998,6.258024458719426,0.020543545891278603,
24,162.54,6.983556495106663,0.021810045190709972,
25,173.29,8.345635379159557,0.02421037784848316,
26,187.67,9.892277404084513,0.027824363789532857,
27,203.83999999999997,11.963307304033,0.03250930498626418,
28,219.93499999999997,13.196373099276126,0.03791721358846373,
29,235.59499999999997,14.999080742093657,0.04399175717047179,
30,250.64999999999998,16.558060785286127,0.050686397979556146,
31,263.78999999999996,17.31862367123416,0.05729423228860285,
32,277.29499999999996,18.699209176392635,0.06490649577915174,
33,288.02,22.189217999145157,0.07159708427771028,
34,297.89,26.54314200738904,0.07829731141408929,
35,307.72499999999997,30.93384227410073,0.08552418091443081,
36,320.54499999999996,36.232350700908704,0.09582106052248161,
37,334.515,43.251431474111754,0.10824356516185794,
38,347.335,46.088106435148916,0.1208132665797479,
39,356.23499999999996,50.946469506627054,0.13022806493166783,
40,364.58,54.56065112435214,0.13958438819831942,
41,373.59,60.94591813110687,0.15027283337886582,
42,378.33,65.37387369090362,0.15614355265046456,
43,384.695,71.05624572570565,0.16429774515030196,
44,394.09,79.93758238017014,0.17690308889129397,
45,408.205,93.02113875992944,0.19711338836860207,
46,425.7,108.0972484812036,0.2242358040555978,
47,440.38,112.94327763250858,0.24867116957388424,
48,448.805,126.55101795699849,0.26333448378890967,
49,458.47,142.32923081635906,0.28068091705018294,
50,471.47,162.15715279972636,0.3048011127001061,
51,487.07500000000005,189.8004135243397,0.3347384967148072,
52,503.39500000000004,223.2631800928377,0.3668660973640669,
53,519.645,261.49806756111377,0.3992900007456469,
54,537.475,306.2459018001037,0.43486133011559197,
55,555.13,352.6710711245918,0.4695462319942406,
56,568.935,390.614126697073,0.49596263760331183,
57,581.7299999999999,424.0520398116622,0.5196833815500569,
58,598.3549999999999,468.91545792129796,0.5491557723323661,
59,619.0799999999999,523.0706098643477,0.5833967266926374,
60,639.3199999999999,578.8158443287135,0.6138503144789625,
61,659.5799999999999,628.8497144461186,0.641213252818212,
62,671.6199999999999,651.951453093938,0.6559825836334543,
63,683.7299999999999,702.9744573597528,0.6697337704567508,
64,698.9399999999999,766.4543505464775,0.6854829592107756,
65,718.405,831.7981689699749,0.7032897861940343,
66,738.985,900.8532647479088,0.7194674619480504,
67,759.89,967.1046336236303,0.7333947076303148,
68,780.34,1036.4701567005268,0.7448640620634722,
69,800.975,1110.4458769953112,0.7545603418638378,
70,821.395,1190.4112263221639,0.7625603018355815,
71,840.105,1264.680022433113,0.7686990171573547,
72,858.09,1350.0256336429056,0.7736818009445753,
73,877.2,1416.5732931465664,0.7781347267949267,
74,894.6500000000001,1492.0603825740307,0.7815551406647897,
75,910.8450000000001,1569.3908434297293,0.7842586828908628,
76,927.0800000000002,1621.5407169608325,0.7865780430294769,
77,944.6350000000001,1697.709805319648,0.7887085382132017,
78,962.7850000000001,1776.2168637550615,0.7905606009772276,
79,982.2250000000001,1845.3845659168567,0.7922120389830406,
80,1003.0950000000001,1903.359623469105,0.7936673774617193,
81,1025.015,1959.485168552405,0.7949059468932262,
82,1046.505,2024.670460085725,0.7958859583826223,
83,1065.535,2054.992687659487,0.7965958425917178,
84,1086.8700000000001,2114.241723840185,0.7972476218413432,
85,1109.8300000000002,2168.7827037727134,0.7978107229393964,
86,1132.2300000000002,2235.885790274701,0.7982491161381553,
87,1153.5350000000003,2290.372411357805,0.7985844887526455,
88,1174.4400000000003,2347.8938962542134,0.7988511348671826,
89,1195.8250000000003,2415.869359095352,0.7990720698869013,
90,1215.7200000000003,2455.689103344408,0.7992393177701155,
91,1234.6700000000003,2490.794759100507,0.799370528953415,
92,1256.3750000000002,2562.9416311732875,0.799493267429411,
93,1275.8800000000003,2652.352735222678,0.7995830169214683,
94,1292.7350000000004,2717.1545590391943,0.7995975079667621,
95,1309.6700000000003,2789.082034764823,0.7995232784987224,
96,1326.2900000000002,2850.8749005092423,0.7994371434911354,
97,1345.285,2919.4566818322073,0.7993195001794765,
98,1365.265,2989.5492950027665,0.799144539930568,
99,1386.15,3052.762762054078,0.7986699493668408,
100,1406.315,3106.8833708732304,0.7979443881899582,
101,1426.6000000000001,3176.3528252000697,0.7970822754211009,
102,1446.3650000000002,3234.4917017100465,0.7961852827698892,
103,1465.6700000000003,3268.141670684348,0.7953776572844823,
104,1486.7600000000002,3335.192059704361,0.7943001150871141,
105,1508.6550000000002,3403.2166115271802,0.7922920725891996,
106,1531.2050000000002,3466.472421383198,0.7879486672872235,
107,1553.4950000000001,3513.6937490274227,0.780532003792213,
108,1575.015,3553.888894565378,0.7714543537860163,
109,1594.9650000000001,3614.5561073008566,0.7610017628590798,
110,1615.4700000000003,3669.763101575281,0.7526515920166926,
111,1637.6000000000004,3732.503087127836,0.7417770560116872,
112,1658.2400000000005,3789.9972368284284,0.7133711731570491,
113,1679.1200000000006,3855.8618432755634,0.6958742106358772,
114,1700.9650000000006,3911.8282478444467,0.6737075806768594,
115,1724.0600000000006,3957.7699672962017,0.6365297317522448,
116,1747.7150000000006,4003.2579322343336,0.5739977901748626,
117,1772.0900000000006,4036.4547033656077,0.47936846138144207,
118,1797.0250000000005,4058.999784534755,0.35354518005957775,
119,1821.0200000000004,4075.001010188113,0.22843555974357707,
120,1841.8300000000004,4085.2763754740035,0.1503235357456028,
121,1862.3750000000005,4094.3340593976554,0.12683167294898717,
122,1882.8000000000004,4105.306199779781,0.10652046388161276,
123,1903.2150000000004,4114.629104393498,0.08903967138046838,
124,1925.1050000000005,4120.691514386011,0.07267620792316902,
125,1947.9900000000005,4124.526202690115,0.04573081633628748,
126,1968.7150000000004,4126.876816560998,0.029220421377036537,
127,1991.5800000000004,4128.705445486396,0.022938047688793983,
128,2012.4200000000003,4129.517133610074,0.017393938148034683,
129,2032.5600000000004,4129.887852943753,0.014277655832078684,
130,2052.1900000000005,4130.286070281848,0.011770328332476453,
131,2069.6950000000006,4131.079463017726,0.009903589667562454,
132,2088.7200000000007,4131.387151926286,0.008205415010675161,
133,2112.7200000000007,4131.870967655102,0.006468765007440428,
134,2135.5050000000006,4132.192730736899,0.0037215109475119616,
135,2157.9650000000006,4132.4530406018985,0.0026955079185817187,
136,2180.8000000000006,4132.572634694875,0.001771960619105193,
137,2204.5100000000007,4132.655112042339,0.0011957637893927448,
138,2228.3250000000007,4132.705620760494,0.0007394336791944498,
139,2250.5050000000006,4132.732483198856,0.0004481904035797452,2810.2580885752222
